Название Скважины,ГЗУ,Связь,Статус работы,Тип Скважины,"Qж (факт), т/сут","Qж (4 часа), т/сут","Рлин, атм","Тлин, °C","Работа, ч",Комментарии
1259G,ГЗУ-12 птв,1783942958.607,Running,Srp,1.1514307739930987,1.1371514840327122,,,-,
1260G,ГЗУ-11 птв,1783943080.858,,Srp,1.525694132052454,1.4679337040946026,,,-,
1261G,ГЗУ-11 птв,1783941748.881,Running,Srp,9.980970561994646,10.61411422957548,,,-,
1262G,ГЗУ-11 птв,1783943166.128,Stop,Srp,15.124054322164087,15.213899556456276,,,-,
1263G,ГЗУ-11 птв,1783138222.031,Running,Srp,null,null,,,-,
1273G,ГЗУ-18 птв,1783943379.13,Running,Pcp,26.71498641901286,27.0221701238772,,,-,
1275G,ГЗУ-19 птв,1783942479.076,,Pcp,17.251104021859756,17.241169701136535,,,-,
1351G,ГЗУ-12 птв,1783942400.707,,Srp,1.4548928353109172,1.4758418428480478,,,-,
1352G,ГЗУ-12 птв,1777616767.797,Running,Srp,null,null,,,-,
1353G,ГЗУ-12 птв,1783692735.979,,Srp,null,null,,,-,
1355G,ГЗУ-12 птв,1783943493.013,Running,Srp,11.516009882423765,11.655402970294565,,,-,
1364G,ГЗУ-19 птв,1783942876.295,Running,Pcp,60.62906136913799,60.555696199352596,,,-,
1365G,ГЗУ-19 птв,1783941803.918,Stop,Srp,15.129155226188255,15.178167651078395,0,0,-,
1368G,ГЗУ-25 птв,1783943314.228,Running,Pcp,0,0,0,0,-,
1369G,ГЗУ-25 птв,1783942934.39,Running,Srp,8.180273686192795,8.314404807935658,2.1,33.6,-,
1371G,ГЗУ-25 птв,1783941772.714,,Srp,19.41069810645086,0,,,-,
1465G,ГЗУ-25 птв,1783942782.781,,Pcp,25.67220709571621,25.62581011758061,,,-,
1496D,ГЗУ-17 птв,1783942734.821,Running,Pcp,51.178878090007935,50.813846871894576,1.8,34.7,-,
1556G,ГЗУ-25 птв,1783941924.788,Running,Pcp,24.418401553191686,24.609724187636786,,,-,
1557G,ГЗУ-25 птв,1783908036.12,,Pcp,0,null,,,-,
1559G,ГЗУ-27 п,1778307748.959,,Pcp,null,null,,,-,
1653G,ГЗУ-25 птв,1783942990.268,Running,Pcp,10.915147519969546,10.872636708210612,,,-,
1657G,ГЗУ-27а п,1783942358.525,,Pcp,6.729999245155471,5.207281712468659,,,-,
1к,ГЗУ-1 ввг,1783942842.671,,Srp,32.00622133247789,32.15293142888257,,,-,
377D,ГЗУ-33а п,1783943009.456,Running,Srp,30.602707085323107,22.223250817039574,3.77,150,-,
391D,ГЗУ-10 птв,1782698435.837,Running,Pcp,null,null,,,-,
4380G,ГЗУ-27 п,1779069641.339,Running,Pcp,null,null,,,-,
4381G,ГЗУ-27 п,1783942710.577,,Pcp,5.30356086162627,5.976944031331081,,,-,
4661А,ГЗУ-21 птв,1783942502.163,,Pcp,50.976584017960526,50.379218630466895,,,-,
524D,ГЗУ-33а п,1783929105.057,,Srp,16.526280908481706,null,,,-,
550D,ГЗУ-33а п,1783942947.662,,Pcp,0,0,,,-,
569D,ГЗУ-33а п,1783943483.638,Running,Pcp,45.994764131426564,45.537982297913175,,,-,
571D,ГЗУ-33а п,1783943480.54,Running,Pcp,25.101257992401447,25.03964711452442,,,-,
5750D,ГЗУ-33 п,1783941663.358,Running,Srp,25.776912861261014,25.81522120911318,,,-,
584D,ГЗУ-33а п,1783941960.282,Running,Pcp,0,0,0,0,-,
585D,ГЗУ-33а п,1783943249.273,Stop,Pcp,9.667518545624512,11.731354672253564,,,-,
587D,ГЗУ-33а п,1783943109.481,Running,Pcp,56.770543111822036,57.207356661034915,,,-,
5к,ГЗУ-1 ввг,1783943295.434,,Srp,20.833013844473722,20.619834568146878,,,-,
602D,ГЗУ-33а п,1783942368.543,,Srp,20.54864015017207,20.598544026472442,,,-,
605D,ГЗУ-33а п,1783942354.915,Stop,Pcp,12.394093444521555,12.462153960433668,2.01,29.6,-,
606D,ГЗУ-33а п,1783942350.676,Running,Pcp,33.15016344438466,33.35330468041693,,,-,
609D,ГЗУ-33а п,1778736454.946,Stop,Pcp,null,null,,,-,
6к,ГЗУ-33а п,1783943267.683,,Pcp,11.788728309184027,12.838790300956065,,,-,
90D,ГЗУ-1 ввг,1783943492.969,,Srp,0,0,,,-,
8,ГЗУ-33а п,1783943339.312,Running,Srp,26.166576710278214,26.48627879028875,,,-,
10,ГЗУ-33а п,1783943010.255,Running,Srp,17.915907194209314,17.884519407727886,,,-,
11,ГЗУ-33а п,1783942691.924,,Pcp,12.939355501165755,12.933253495630728,,,-,
12,ГЗУ-33а п,1783942930.911,Running,Srp,24.76683728174628,24.74277264002896,2.33,32.2,-,
19,ГЗУ-1 ввг,1783942352.677,Running,Pcp,46.200128360070785,46.155194889353304,,,-,
23,ГЗУ-1 ввг,1783943343.259,Stop,Pcp,21.633494696562224,22.56534950825036,,,-,
25,ГЗУ-1 ввг,1783942588.709,Stop,Pcp,13.113989617573473,12.691851321111884,,,-,
32,ГЗУ-16 птв,1783942407.099,Running,Pcp,0,0,,,-,
33,ГЗУ-21 птв,1783943067.432,Running,Srp,18.013189596102606,18.33475999600904,,,-,
34,ГЗУ-24 птв,1783941720.567,Running,Pcp,51.83456237822074,51.73905829679983,,,-,
35,ГЗУ-24 птв,1783940243.504,,Pcp,10.041722925850019,10.066358549069435,,,-,
43,ГЗУ-34 п,1783942888.395,Running,Pcp,64.94756762337536,65.03559807782783,,,-,
46,ГЗУ-1 ввг,1783942976.587,Stop,Pcp,18.372282804316324,18.957288548999013,,,-,
47,ГЗУ-1 ввг,1783601903.119,Running,Pcp,null,null,,,-,
49,ГЗУ-1 ввг,1783940775.6,Running,Pcp,19.051276780585077,19.104647826746437,,,-,
54,ГЗУ-1 ввг,1783735235.825,Running,Srp,null,null,,,-,
55,ГЗУ-1 ввг,1783943069.641,Stop,Pcp,43.455438758619955,43.19327932889122,,,-,
57,ГЗУ-1 ввг,1783942845.577,Stop,Pcp,32.67588040177965,33.00906814048742,,,-,
59,ГЗУ-1 ввг,1783943205.308,Stop,Pcp,46.70236351705738,46.68208016117786,,,-,
63,ГЗУ-1 ввг,1783923259.762,,Pcp,16.998735031027866,null,,,-,
64,ГЗУ-1 ввг,1778983242.166,Running,Pcp,null,null,,,-,
65,ГЗУ-1 ввг,1783942415.304,Running,Pcp,5.426245264546032,5.03206367898812,,,-,
66,ГЗУ-1 ввг,1783943094.766,Running,Pcp,76.6727937451042,76.52818248320581,,,-,
71,ГЗУ-1 ввг,1783943218.058,,Pcp,5.387954596554117,5.299155327347747,,,-,
74,ГЗУ-1 ввг,1783942686.586,Running,Pcp,29.183046222984615,29.36402541171372,,,-,
88,ГЗУ-1 ввг,1783941865.812,,Pcp,41.27627145816032,40.83301801996864,,,-,
95,ГЗУ-1 ввг,1783942957.792,Running,Pcp,32.12833754430258,32.054033596203,,,-,
96,ГЗУ-1 ввг,1783942861.657,,Pcp,32.40157742209624,20.143880337326056,,,-,
97,ГЗУ-1 ввг,1783942025.37,,Pcp,8.070222744677462,8.706779033001514,,,-,
98,ГЗУ-1 ввг,1783940066.656,Stop,Pcp,13.06821223953171,13.113706074924574,,,-,
100,ГЗУ-1 ввг,1783943429.74,Running,Srp,27.498029052590095,27.49528214732954,,,-,
141,ГЗУ-25 птв,1783942640.045,Running,Pcp,43.557369729707126,43.467902268021234,,,-,
146,ГЗУ-34 п,1783942348.165,Running,Pcp,38.85238923228248,null,2.16,27.7,-,
148,ГЗУ-33а п,1783940629.916,Running,Pcp,29.310936198681805,28.847350596474367,,,-,
149,ГЗУ-33а п,1773907357.163,,Srp,null,null,,,-,
155,ГЗУ-1 ввг,1783943064.164,Running,Pcp,24.22925575684663,24.69175138687861,,,-,
156,ГЗУ-1 ввг,1783942788.253,,Pcp,18.755701960088796,18.828712025005863,,,-,
